# BH-FRW Full Evolution Sandbox v0.3
# log10(M/Msun)=22.5
# Om=0.3, Or=0.0001, H0=70
# log10(Ec2)=10, dTau=0.001, maxSteps=200000
# mode=QUANTUM, stopAtBounce=true
# OmegaL0=6.674188e-1, OmegaK=0.032481
# tau_today=0.954000 (where a=1)
# t_today_Gyr=13.326
# back_reason=bounce_boundary_reached, fwd_reason=a_stop_reached
# tau=0 at bounce; tau=tau_today at a=1 (today); tau increases into future
# ---
tau,a,E,E2_over_Ec2,mode
0.00000000e+0,2.41066090e-3,0.00000000e+0,1.00000000e+0,1
1.00000000e-3,8.78347171e-3,6.78170257e+2,4.59936051e-5,1
2.00000000e-3,1.38463919e-2,3.40437729e+2,1.15899190e-5,1
3.00000000e-3,1.81702862e-2,2.25884412e+2,5.10240280e-6,1
4.00000000e-3,2.20441246e-2,1.68808654e+2,2.84964428e-6,1
5.00000000e-3,2.56079580e-2,1.34712417e+2,1.81474683e-6,1
6.00000000e-3,2.89409012e-2,1.12062989e+2,1.25581292e-6,1
7.00000000e-3,3.20927069e-2,9.59303256e+1,9.20263585e-7,1
8.00000000e-3,3.50970971e-2,8.38576646e+1,7.03211286e-7,1
9.00000000e-3,3.79782104e-2,7.44844800e+1,5.54794085e-7,1
1.00000000e-2,4.07540555e-2,6.69967499e+1,4.48856651e-7,1
1.10000000e-2,4.34385096e-2,6.08777192e+1,3.70609807e-7,1
1.20000000e-2,4.60425479e-2,5.57836065e+1,3.11181173e-7,1
1.30000000e-2,4.85750370e-2,5.14768403e+1,2.64986579e-7,1
1.40000000e-2,5.10432688e-2,4.77879933e+1,2.28369283e-7,1
1.50000000e-2,5.34533311e-2,4.45929899e+1,1.98853514e-7,1
1.60000000e-2,5.58103723e-2,4.17988853e+1,1.74714712e-7,1
1.70000000e-2,5.81187956e-2,3.93346805e+1,1.54721733e-7,1
1.80000000e-2,6.03824036e-2,3.71452059e+1,1.37976651e-7,1
1.90000000e-2,6.26045092e-2,3.51869438e+1,1.23812117e-7,1
2.00000000e-2,6.47880206e-2,3.34251064e+1,1.11723786e-7,1
2.10000000e-2,6.69355085e-2,3.18315516e+1,1.01324778e-7,1
2.20000000e-2,6.90492593e-2,3.03832681e+1,9.23143066e-8,1
2.30000000e-2,7.11313181e-2,2.90612576e+1,8.44556762e-8,1
2.40000000e-2,7.31835232e-2,2.78496960e+1,7.75605628e-8,1
2.50000000e-2,7.52075350e-2,2.67352977e+1,7.14776192e-8,1
2.60000000e-2,7.72048596e-2,2.57068255e+1,6.60840921e-8,1
2.70000000e-2,7.91768684e-2,2.47547111e+1,6.12795758e-8,1
2.80000000e-2,8.11248147e-2,2.38707559e+1,5.69813020e-8,1
2.90000000e-2,8.30498476e-2,2.30478947e+1,5.31205477e-8,1
3.00000000e-2,8.49530242e-2,2.22800061e+1,4.96398696e-8,1
3.10000000e-2,8.68353197e-2,2.15617602e+1,4.64909525e-8,1
3.20000000e-2,8.86976359e-2,2.08884947e+1,4.36329229e-8,1
3.30000000e-2,9.05408093e-2,2.02561133e+1,4.10310142e-8,1
3.40000000e-2,9.23656174e-2,1.96610025e+1,3.86555034e-8,1
3.50000000e-2,9.41727843e-2,1.90999626e+1,3.64808586e-8,1
3.60000000e-2,9.59629861e-2,1.85701500e+1,3.44850482e-8,1
3.70000000e-2,9.77368554e-2,1.80690288e+1,3.26489814e-8,1
3.80000000e-2,9.94949848e-2,1.75943308e+1,3.09560485e-8,1
3.90000000e-2,1.01237931e-1,1.71440205e+1,2.93917446e-8,1
4.00000000e-2,1.02966216e-1,1.67162663e+1,2.79433567e-8,1
4.10000000e-2,1.04680334e-1,1.63094157e+1,2.65997048e-8,1
4.20000000e-2,1.06380750e-1,1.59219737e+1,2.53509252e-8,1
