z,a,t_Gyr,H_norm,Lambda_norm,w,OmL_eff
4.9970,0.166749,1.1532,8.066110,0.612732,-1.123953,0.006600
4.9893,0.166965,1.1555,8.050607,0.613026,-1.124120,0.006629
4.9816,0.167180,1.1577,8.035164,0.613321,-1.124288,0.006657
4.9739,0.167395,1.1600,8.019780,0.613616,-1.124454,0.006686
4.9662,0.167610,1.1622,8.004456,0.613910,-1.124621,0.006715
4.9586,0.167825,1.1644,7.989191,0.614205,-1.124788,0.006744
4.9510,0.168040,1.1667,7.973984,0.614499,-1.124954,0.006773
4.9434,0.168255,1.1689,7.958836,0.614794,-1.125120,0.006802
4.9358,0.168469,1.1711,7.943745,0.615088,-1.125285,0.006831
4.9283,0.168684,1.1734,7.928713,0.615383,-1.125451,0.006860
4.9207,0.168898,1.1756,7.913737,0.615677,-1.125616,0.006890
4.9132,0.169112,1.1778,7.898819,0.615972,-1.125781,0.006919
4.9058,0.169326,1.1801,7.883957,0.616266,-1.125945,0.006948
4.8983,0.169540,1.1823,7.869151,0.616560,-1.126110,0.006978
4.8909,0.169754,1.1845,7.854402,0.616855,-1.126274,0.007008
4.8835,0.169967,1.1868,7.839708,0.617149,-1.126438,0.007037
4.8761,0.170181,1.1890,7.825070,0.617443,-1.126601,0.007067
4.8688,0.170394,1.1912,7.810487,0.617738,-1.126765,0.007097
4.8614,0.170607,1.1935,7.795958,0.618032,-1.126928,0.007127
4.8541,0.170820,1.1957,7.781484,0.618326,-1.127091,0.007157
4.8468,0.171033,1.1979,7.767065,0.618620,-1.127253,0.007187
4.8396,0.171246,1.2002,7.752699,0.618914,-1.127416,0.007217
4.8323,0.171459,1.2024,7.738386,0.619208,-1.127578,0.007247
4.8251,0.171671,1.2046,7.724127,0.619502,-1.127740,0.007277
4.8179,0.171884,1.2069,7.709921,0.619796,-1.127901,0.007307
4.8107,0.172096,1.2091,7.695767,0.620090,-1.128063,0.007338
4.8036,0.172308,1.2114,7.681666,0.620384,-1.128224,0.007368
4.7964,0.172520,1.2136,7.667617,0.620678,-1.128385,0.007399
4.7893,0.172732,1.2158,7.653620,0.620972,-1.128546,0.007429
4.7822,0.172944,1.2181,7.639675,0.621266,-1.128706,0.007460
4.7752,0.173156,1.2203,7.625780,0.621560,-1.128866,0.007491
4.7681,0.173367,1.2225,7.611937,0.621854,-1.129026,0.007522
4.7611,0.173579,1.2248,7.598144,0.622147,-1.129186,0.007552
4.7541,0.173790,1.2270,7.584401,0.622441,-1.129345,0.007583
4.7471,0.174001,1.2292,7.570709,0.622735,-1.129504,0.007614
4.7401,0.174212,1.2315,7.557067,0.623029,-1.129663,0.007646
4.7332,0.174423,1.2337,7.543474,0.623322,-1.129822,0.007677
4.7263,0.174634,1.2359,7.529931,0.623616,-1.129980,0.007708
4.7194,0.174844,1.2382,7.516436,0.623910,-1.130138,0.007739
4.7125,0.175055,1.2404,7.502990,0.624203,-1.130296,0.007771
4.7056,0.175265,1.2426,7.489593,0.624497,-1.130454,0.007802
4.6988,0.175476,1.2449,7.476244,0.624790,-1.130611,0.007834
4.6920,0.175686,1.2471,7.462944,0.625084,-1.130768,0.007866
4.6852,0.175896,1.2493,7.449690,0.625377,-1.130925,0.007897
4.6784,0.176106,1.2516,7.436485,0.625670,-1.131082,0.007929
4.6716,0.176316,1.2538,7.423326,0.625964,-1.131238,0.007961
4.6649,0.176525,1.2561,7.410215,0.626257,-1.131394,0.007993
4.6582,0.176735,1.2583,7.397150,0.626550,-1.131550,0.008025
4.6515,0.176944,1.2605,7.384132,0.626844,-1.131706,0.008057
4.6448,0.177154,1.2628,7.371160,0.627137,-1.131861,0.008089
4.6382,0.177363,1.2650,7.358234,0.627430,-1.132016,0.008121
4.6315,0.177572,1.2672,7.345354,0.627723,-1.132171,0.008154
4.6249,0.177781,1.2695,7.332520,0.628016,-1.132326,0.008186
4.6183,0.177990,1.2717,7.319730,0.628309,-1.132480,0.008219
4.6117,0.178198,1.2739,7.306986,0.628602,-1.132635,0.008251
4.6052,0.178407,1.2762,7.294286,0.628896,-1.132788,0.008284
4.5986,0.178615,1.2784,7.281631,0.629189,-1.132942,0.008316
4.5921,0.178824,1.2806,7.269021,0.629481,-1.133096,0.008349
4.5856,0.179032,1.2829,7.256454,0.629774,-1.133249,0.008382
4.5791,0.179240,1.2851,7.243931,0.630067,-1.133402,0.008415
4.5726,0.179448,1.2873,7.231452,0.630360,-1.133554,0.008448
4.5662,0.179656,1.2896,7.219017,0.630653,-1.133707,0.008481
4.5598,0.179864,1.2918,7.206624,0.630946,-1.133859,0.008514
4.5534,0.180071,1.2940,7.194275,0.631239,-1.134011,0.008547
4.5470,0.180279,1.2963,7.181968,0.631531,-1.134163,0.008581
4.5406,0.180486,1.2985,7.169704,0.631824,-1.134314,0.008614
4.5342,0.180694,1.3008,7.157482,0.632117,-1.134466,0.008647
4.5279,0.180901,1.3030,7.145302,0.632409,-1.134617,0.008681
4.5216,0.181108,1.3052,7.133164,0.632702,-1.134767,0.008715
4.5153,0.181315,1.3075,7.121068,0.632994,-1.134918,0.008748
4.5090,0.181522,1.3097,7.109013,0.633287,-1.135068,0.008782
4.5027,0.181729,1.3119,7.096999,0.633579,-1.135218,0.008816
4.4965,0.181935,1.3142,7.085027,0.633872,-1.135368,0.008850
4.4902,0.182142,1.3164,7.073095,0.634164,-1.135517,0.008884
4.4840,0.182348,1.3186,7.061204,0.634457,-1.135667,0.008918
4.4778,0.182554,1.3209,7.049353,0.634749,-1.135816,0.008952
4.4716,0.182760,1.3231,7.037543,0.635041,-1.135965,0.008986
4.4655,0.182967,1.3253,7.025772,0.635333,-1.136113,0.009020
4.4593,0.183172,1.3276,7.014041,0.635626,-1.136261,0.009055
4.4532,0.183378,1.3298,7.002350,0.635918,-1.136409,0.009089
4.4471,0.183584,1.3320,6.990698,0.636210,-1.136557,0.009124
4.4410,0.183790,1.3343,6.979086,0.636502,-1.136705,0.009158
4.4349,0.183995,1.3365,6.967512,0.636794,-1.136852,0.009193
4.4289,0.184201,1.3387,6.955977,0.637086,-1.136999,0.009228
4.4228,0.184406,1.3410,6.944481,0.637378,-1.137146,0.009263
4.4168,0.184611,1.3432,6.933023,0.637670,-1.137293,0.009297
4.4108,0.184816,1.3455,6.921604,0.637962,-1.137439,0.009332
4.4048,0.185021,1.3477,6.910222,0.638254,-1.137585,0.009367
4.3988,0.185226,1.3499,6.898879,0.638546,-1.137731,0.009403
4.3929,0.185430,1.3522,6.887573,0.638838,-1.137877,0.009438
